变量名,类型/位号,读位置,写位置,用途推断,相关轴号,风险说明
A,global axisdef,1st.prg:11402;1st.prg:11409,,通用控制变量,,中
A0_DriveError,local int,1st.prg:8865,1st.prg:9531,故障/错误阈值或报警状态,,中
A0_Enabled,local int,1st.prg:8865,1st.prg:9528,局部计算/临时变量,,低
A0_EncoderDisconnected,local int,1st.prg:8865,1st.prg:9532,局部计算/临时变量,,低
A0_Homed,local int,1st.prg:8865,1st.prg:9529,局部计算/临时变量,,低
A0_NegLimit,local int,1st.prg:8865,1st.prg:9530,局部计算/临时变量,,高
A2_DriveError,local int,1st.prg:8866,1st.prg:9537,故障/错误阈值或报警状态,,中
A2_Enabled,local int,1st.prg:8866,1st.prg:9534,局部计算/临时变量,,低
A2_EncoderDisconnected,local int,1st.prg:8866,1st.prg:9538,局部计算/临时变量,,低
A2_Homed,local int,1st.prg:8866,1st.prg:9535,局部计算/临时变量,,低
A2_NegLimit,local int,1st.prg:8866,1st.prg:9536,局部计算/临时变量,,高
ACC,unknown unknown,1st.prg:1987;1st.prg:2680;1st.prg:3373;1st.prg:4066;1st.prg:4759;1st.prg:5452;1st.prg:8617;1st.prg:8726;1st.prg:8750;1st.prg:9218;1st.prg:9220;1st.prg:9442;1st.prg:9452;1st.prg:9462;1st.prg:9472,1st.prg:103;1st.prg:142;1st.prg:1426;1st.prg:2020;1st.prg:2059;1st.prg:2713;1st.prg:2752;1st.prg:3406;1st.prg:3445;1st.prg:4099;1st.prg:4138;1st.prg:4792;1st.prg:4831;1st.prg:5485;1st.prg:5524;1st.prg:8381;1st.prg:8382;1st.prg:8392;1st.prg:8393;1st.prg:8502;1st.prg:8503;1st.prg:9158;1st.prg:9168;1st.prg:9178;1st.prg:9187;1st.prg:9198;1st.prg:9206,运动参数/速度曲线,,高
ANALOG_OFFSET,local real,1st.prg:1400;1st.prg:1752;1st.prg:1771,1st.prg:1418,局部计算/临时变量,,低
AOUT,unknown unknown,,1st.prg:9703;1st.prg:9716;1st.prg:9729;1st.prg:9742,通用控制变量,,中
APOS,unknown unknown,,1st.prg:10761;1st.prg:10762;1st.prg:10805,通用控制变量,,中
AnalogCARAxis,global int,1st.prg:22;1st.prg:601;1st.prg:603;1st.prg:605;1st.prg:607;1st.prg:720;1st.prg:1208;1st.prg:1210;1st.prg:1212;1st.prg:1214;1st.prg:1939;1st.prg:2518;1st.prg:2520;1st.prg:2522;1st.prg:2524;1st.prg:2632;1st.prg:3211;1st.prg:3213;1st.prg:3215;1st.prg:3217;1st.prg:3325;1st.prg:3904;1st.prg:3906;1st.prg:3908;1st.prg:3910;1st.prg:4018;1st.prg:4597;1st.prg:4599;1st.prg:4601;1st.prg:4603;1st.prg:4711;1st.prg:5290;1st.prg:5292;1st.prg:5294;1st.prg:5296;1st.prg:5404;1st.prg:5983;1st.prg:5985;1st.prg:5987;1st.prg:5989;1st.prg:10571;1st.prg:10624;1st.prg:10625;1st.prg:10627;1st.prg:10628;1st.prg:10631;1st.prg:10632;1st.prg:10634;1st.prg:10635;1st.prg:10639;1st.prg:10640;1st.prg:10642;1st.prg:10643;1st.prg:10647;1st.prg:10648;1st.prg:10650;1st.prg:10651,1st.prg:10576;1st.prg:10585,通用控制变量,,中
AnalogChannelOffset,global real,1st.prg:7900;1st.prg:7915;1st.prg:7932;1st.prg:7946;1st.prg:8977;1st.prg:11457,,通用控制变量,,中
